date,total
1947-06,1
1947-07,5
1947-08,3
1947-09,1
1947-10,4
1947-11,13
1947-12,6
1948-01,57
1948-02,6
1948-04,5
1948-05,9
1948-06,10
1948-10,1
1948-11,7
1948-12,6
1949-01,22
1949-02,10
1949-03,3
1949-04,3
1949-05,1
1949-06,3
1949-07,5
1949-08,1
1949-09,5
1949-10,2
1949-11,2
1949-12,30
1950-01,35
1950-02,1
1950-03,1
1950-04,2
1950-05,3
1950-06,10
1950-07,4
1950-08,1
1950-09,4
1950-10,3
1950-11,3
1950-12,3
1951-01,24
1951-02,4
1951-03,1
1951-04,3
1951-05,2
1951-06,1
1951-08,2
1951-09,2
1951-11,1
1951-12,6
1952-01,20
1952-02,2
1952-03,5
1952-04,4
1952-05,9
1952-06,4
1952-07,2
1952-08,3
1952-09,1
1952-10,1
1952-11,2
1952-12,2
1953-01,49
1953-02,1
1953-03,1
1953-04,1
1953-05,1
1953-06,1
1953-07,3
1953-08,2
1953-10,1
1953-11,1
1953-12,3
1954-01,20
1954-03,2
1954-04,3
1954-05,1
1954-06,2
1954-08,2
1954-09,4
1954-10,3
1954-12,10
1955-01,33
1955-03,1
1955-04,2
1955-06,2
1955-11,1
1955-12,2
1956-01,15
1956-02,1
1956-03,2
1956-04,3
1956-05,1
1956-06,1
1956-07,2
1956-10,5
1956-11,12
1956-12,1
1957-01,22
1957-02,2
1957-03,2
1957-04,3
1957-05,6
1957-06,9
1957-07,5
1957-08,7
1957-09,4
1957-10,5
1957-11,4
1957-12,11
1958-01,50
1958-02,5
1958-04,10
1958-05,8
1958-06,11
1958-07,1
1958-08,9
1958-09,1
1958-10,14
1958-11,2
1958-12,2
1959-01,16
1959-03,3
1959-04,5
1959-05,3
1959-06,3
1959-07,6
1959-08,5
1959-09,4
1959-10,6
1959-11,4
1959-12,10
1960-01,33
1960-02,4
1960-03,1
1960-04,6
1960-05,1
1960-06,1
1960-07,7
1960-08,2
1960-09,13
1960-10,5
1960-11,26
1960-12,7
1961-01,27
1961-02,28
1961-03,13
1961-04,15
1961-05,18
1961-06,4
1961-07,6
1961-08,14
1961-09,7
1961-10,14
1961-11,8
1961-12,14
1962-01,11
1962-02,14
1962-03,7
1962-04,4
1962-05,20
1962-06,10
1962-07,5
1962-08,5
1962-09,4
1962-10,4
1962-11,7
1962-12,5
1963-01,30
1963-02,2
1963-03,2
1963-04,1
1963-05,16
1963-06,4
1963-07,3
1963-08,3
1963-09,2
1963-10,5
1963-11,6
1963-12,2
1964-01,33
1964-02,4
1964-03,2
1964-04,5
1964-05,1
1964-06,2
1964-07,1
1964-08,3
1964-09,9
1964-10,2
1964-11,2
1964-12,1
1965-01,36
1965-02,3
1965-03,63
1965-04,1
1965-05,7
1965-06,16
1965-07,7
1965-08,15
1965-09,2
1965-10,17
1965-11,13
1965-12,10
1966-01,10
1966-02,1
1966-03,6
1966-05,6
1966-06,6
1966-07,2
1966-08,6
1966-09,5
1966-10,5
1966-11,6
1966-12,3
1967-01,22
1967-02,1
1967-03,1
1967-04,1
1967-05,2
1967-06,3
1967-08,2
1967-09,3
1967-10,1
1967-11,4
1967-12,8
1968-01,24
1968-03,1
1968-04,8
1968-05,17
1968-06,2
1968-08,1
1968-09,3
1968-10,14
1968-11,2
1968-12,15
1969-01,29
1969-02,2
1969-03,9
1969-04,3
1969-05,20
1969-06,5
1969-07,44
1969-08,4
1969-09,8
1969-10,4
1969-11,10
1969-12,665
1970-01,50
1970-02,8
1970-03,1
1970-04,6
1970-05,1
1970-06,2
1970-07,9
1970-08,1
1970-09,2
1970-10,2
1970-11,2
1970-12,4
1971-01,13
1971-02,5
1971-03,3
1971-04,2
1971-05,2
1971-06,2
1971-07,4
1971-08,8
1971-10,1
1971-11,2
1972-01,12
1972-02,5
1972-03,4
1972-04,4
1972-05,1
1972-06,2
1972-07,4
1972-08,5
1972-09,4
1972-10,3
1972-11,2
1972-12,24
1973-01,7
1973-02,4
1973-03,9
1973-04,1
1973-05,6
1973-06,9
1973-07,5
1973-08,8
1973-09,1
1973-10,9
1973-11,2
1973-12,1
1974-01,7
1974-02,2
1974-03,3
1974-04,3
1974-05,3
1974-06,1
1974-07,4
1974-08,4
1974-09,2
1974-10,2
1974-11,1
1974-12,1
1975-01,11
1975-02,2
1975-04,2
1975-06,2
1975-07,8
1975-08,3
1975-09,3
1975-10,1
1975-11,4
1975-12,3
1976-01,12
1976-03,1
1976-05,2
1976-07,2
1976-08,1
1976-09,4
1976-11,3
1976-12,3
1977-01,5
1977-02,1
1977-05,12
1977-06,1
1977-07,1
1977-08,2
1977-09,3
1977-11,1
1977-12,1
1978-01,13
1978-02,1
1978-03,1
1978-04,2
1978-05,1
1978-06,8
1978-07,1
1978-08,3
1978-10,3
1978-12,2
1979-01,3
1979-02,2
1979-03,4
1979-04,1
1979-05,4
1979-06,2
1979-07,2
1979-08,6
1979-10,1
1979-12,1
1980-01,3
1980-03,18
1980-05,3
1980-06,1
1980-10,2
1980-11,1
1980-12,1
1981-01,2
1981-03,2
1981-04,4
1981-05,2
1981-08,1
1981-11,2
1982-01,2
1982-02,2
1982-03,2
1982-05,1
1982-06,3
1982-07,2
1982-08,1
1982-11,1
1983-01,6
1983-03,1
1983-04,3
1983-05,3
1983-06,5
1983-08,4
1983-09,2
1983-10,1
1983-11,1
1984-01,2
1984-02,5
1984-03,2
1984-04,2
1984-06,2
1984-08,3
1984-09,2
1984-10,4
1984-11,4
1984-12,2
1985-01,17
1985-03,1
1985-04,2
1985-05,1
1985-06,3
1985-07,4
1985-08,1
1985-10,5
1985-11,5
1985-12,4
1986-01,17
1986-03,1
1986-05,1
1986-09,5
1986-11,2
1986-12,1
1987-01,5
1987-05,1
1987-09,1
1988-03,1
1988-05,1
1988-07,1
1988-08,1
1988-09,4
1988-11,1
1988-12,1
1989-01,5
1989-02,1
1989-03,3
1989-04,1
1989-05,3
1989-07,3
1989-08,5
1989-09,1
1989-10,2
1989-11,2
1989-12,4
1990-01,7
1990-02,6
1990-03,1
1990-04,5
1990-06,1
1990-07,2
1990-10,2
1990-11,1
1990-12,2
1991-01,1
1991-04,3
1991-05,4
1991-06,2
1991-07,2
1991-08,2
1991-09,1
1991-10,2
1991-11,1
1992-01,3
1992-03,2
1992-04,1
1992-05,5
1992-06,2
1992-07,3
1992-08,2
1992-10,3
1992-11,1
1992-12,3
1993-01,4
1993-03,2
1993-04,3
1993-06,4
1993-09,2
1993-10,2
1993-12,3
1994-01,4
1994-03,3
1994-04,1
1994-07,2
1994-08,1
1994-09,8
1994-10,3
1994-11,2
1995-01,14
1995-02,5
1995-03,1
1995-04,2
1995-05,1
1995-06,5
1995-07,6
1995-08,1
1995-09,4
1995-10,1
1995-11,3
1995-12,1
1996-01,1
1996-02,3
1996-03,3
1996-05,6
1996-06,3
1996-08,4
1996-09,4
1996-10,3
1996-11,4
1997-01,3
1997-02,4
1997-03,5
1997-04,1
1997-05,1
1997-06,2
1997-07,5
1997-08,4
1997-09,7
1997-10,7
1997-11,2
1997-12,2
1998-01,3
1998-04,2
1998-05,3
1998-06,3
